Country,Pollution,Population Density,GDP per Capita,Food Insecurity,"Travel (Arrival, Tourism)",Health Access,Cases,Recovered,Deaths,Literacy Rate
San Marino,10.6908983278922,562.583333333333,20473.30811712618,32.90984848484849,10000.0,77.0,25292.0,25166.0,126.0,1.0
Sao Tome and Principe,27.3357522767854,235.734375,2940.93352926715,54.6,10000.0,59.0,6771.0,6691.0,80.0,0.94
Saudi Arabia,53.1486013629285,14.9673785522564,32093.9622984711,32.90984848484849,10000.0,74.0,841469.0,831823.0,9646.0,0.98
Senegal,63.7402211262202,91.6797538046019,1706.44218024762,29.4,10000.0,50.0,89077.0,87106.0,1971.0,0.58
Serbia,22.5075355689004,79.2537638244738,12281.5058488303,13.0,446000.0,72.0,2583470.0,2565413.0,18057.0,0.99
Seychelles,8.49983857722866,260.604347826087,17879.2396545075,14.3,124500.0,75.0,51686.0,51514.0,172.0,0.96
Sierra Leone,43.2210935036927,114.66898032696,757.85833603088,88.6,10000.0,41.0,7818.0,7693.0,125.0,0.49
Singapore,13.8691955865476,7851.00557103064,84734.2559206054,7.7,2742000.0,89.0,3006155.0,3004131.0,2024.0,0.97
Slovenia,14.2911527506818,104.888460698039,32610.110922729,7.9,1216000.0,84.0,1355887.0,1345831.0,10056.0,1.0
Solomon Islands,13.9542830081778,27.9051804215791,2041.6364912646,32.90984848484849,4400.00009536743,47.0,25954.0,25755.0,199.0,0.77
Somalia,24.525108218562,28.3767924889215,597.458854603159,79.7,10000.0,27.0,27334.0,25973.0,1361.0,0.41
South Africa,23.753069242361,51.4210899438624,6022.5425418935,19.4,3886600.09765625,71.0,4072681.0,3970086.0,102595.0,0.9
South Sudan,30.7373478613476,17.4405029038026,20473.30811712618,87.3,10000.0,34.0,18823.0,18676.0,147.0,0.35
Spain,9.58105460690675,95.5729827216798,33509.0127982139,6.9,36410000.0,85.0,13980340.0,13858488.0,121852.0,0.99
Sri Lanka,19.9644408635608,358.567733591982,3827.96495637489,11.4,540000.0,67.0,672754.0,655855.0,16899.0,0.85
Sudan,45.8349025581217,26.4364807280514,2183.44140625,32.90984848484849,10000.0,44.0,63993.0,58947.0,5046.0,0.61
Suriname,27.3059698425997,3.88245766041872,5494.07409425517,35.8,10000.0,63.0,82496.0,81091.0,1405.0,0.95
Sweden,5.63670790600148,25.7487256923983,55516.836477474,6.0,1957000.0,85.0,2751819.0,2724540.0,27279.0,0.85
Switzerland,9.06104968621636,222.150599739861,99564.710026145,2.5,10000.0,86.0,4453663.0,4439475.0,14188.0,1.0
Tajikistan,37.0534062306267,73.3642337344189,1160.81187026311,28.0,10000.0,67.0,17786.0,17661.0,125.0,1.0
Tanzania,25.081431153535,73.0546635809438,1224.48962402344,58.2,10000.0,43.0,43225.0,42379.0,846.0,0.82
Thailand,31.0072016277159,140.412474309538,7182.02525812415,7.2,10000.0,82.0,4776096.0,4741482.0,34614.0,0.94
Timor-Leste,17.4104661970888,92.0843981170141,1502.51963828284,53.7,10000.0,52.0,23460.0,23322.0,138.0,0.85
Togo,51.6661369398223,167.121492921493,985.697512629974,57.0,482000.0,44.0,39530.0,39240.0,290.0,0.67
Tonga,12.4784129504796,145.891666666667,20473.30811712618,14.8,10000.0,57.0,16958.0,16946.0,12.0,0.99
Trinidad and Tobago,25.6022583642289,266.238791423002,20016.1503008736,43.3,141000.0,75.0,191496.0,187106.0,4390.0,0.98
Tunisia,24.1829826735327,78.0080715756952,3977.69516639644,26.7,2012000.0,67.0,1153361.0,1123938.0,29423.0,0.84
Turks and Caicos Islands,23.410356664507074,48.26,30348.8114409139,32.90984848484849,370399.993896484,35.0,6754.0,6714.0,40.0,0.85
Tuvalu,5.91780105591262,333.066666666667,6344.7750188689,32.90984848484849,10000.0,52.0,2943.0,2942.0,1.0,0.85
Uganda,33.8077192571642,235.950124675843,1002.30913917142,71.2,473000.0,49.0,172149.0,168517.0,3632.0,0.81
Ukraine,14.90010098879,70.8470245081118,5069.703125,31.0,3382000.0,76.0,5531524.0,5421604.0,109920.0,1.0
United Arab Emirates,36.3055030826594,141.861123627147,49040.6947525825,10.0,8084000.0,82.0,1067030.0,1064681.0,2349.0,0.98
United Kingdom,9.91288560282114,280.209151407432,49463.8554617343,5.7,11101000.0,88.0,24924986.0,24692874.0,232112.0,1.0
United States,7.81485752365112,36.4333780453942,82769.4122114216,9.1,45037000.0,86.0,103436829.0,102249845.0,1186984.0,0.85
Uruguay,10.5717923259135,19.3744314935436,22797.8111731861,15.7,10000.0,82.0,1037893.0,1030268.0,7625.0,0.99
Uzbekistan,31.9604294559849,79.2892236957962,2849.51461071911,32.90984848484849,10000.0,75.0,175081.0,174065.0,1016.0,1.0
Vanuatu,14.0824115364695,25.6805578342904,3515.23633611798,23.3,82400.0015258789,47.0,12019.0,12005.0,14.0,0.89
Zambia,24.3085919008655,27.1095091405588,1330.72780576709,32.90984848484849,502000.0,56.0,349635.0,345566.0,4069.0,0.88
Zimbabwe,19.4941796611344,41.5382086079876,2156.0340040333,70.7,639000.0,55.0,266362.0,260622.0,5740.0,0.9
